global_step,correct,similar,incorrect,train_loss,eval_loss
16965,31,5,23,2.4569033485022373e-05,-11.50954861111111
17004,31,5,23,9.810924893827178e-06,-11.643229166666666
17043,31,6,22,2.816915548464749e-05,-11.361979166666666
17082,31,6,22,1.3053417205810547e-05,-11.294270833333334
17121,32,5,22,2.8848648071289062e-05,-11.16232638888889
17160,32,5,22,7.402896699204575e-06,-11.121527777777779
17199,31,6,22,9.739398592500947e-06,-10.84548611111111
17238,31,6,22,1.2135506040067412e-05,-11.38888888888889
17277,31,6,22,9.906291779770982e-06,-11.563368055555555
17316,31,6,22,1.2826919373765122e-05,-11.561631944444445
17355,31,6,22,7.903576261014678e-06,-11.55295138888889
17394,31,6,22,1.16944311230327e-05,-11.5859375
17433,31,6,22,7.653236025362276e-06,-11.61892361111111
17472,31,6,22,0.09156165271997452,-11.614583333333334
17511,31,6,22,9.894371032714844e-06,-11.57204861111111
17550,31,6,22,1.0693072908907197e-05,-11.530381944444445
17589,31,6,22,9.465217772230972e-06,-11.493055555555555
17628,31,6,22,1.00374218163779e-05,-11.533854166666666
17667,31,6,22,1.0132789611816406e-05,-11.57986111111111
17706,31,6,22,9.906291779770982e-06,-11.610243055555555
17745,31,6,22,9.870529538602568e-06,-11.5546875
17784,31,6,22,8.678436643094756e-06,-11.58767361111111
17823,31,6,22,9.858607882051729e-06,-11.485243055555555
17862,31,6,22,8.809565770206973e-06,-11.48611111111111
17901,31,6,22,9.453297025174834e-06,-11.46701388888889
17940,31,6,22,1.1479854947538115e-05,-11.477430555555555
17979,31,6,22,8.463859558105469e-06,-11.464409722222221
